Date : 2024-10-20 17:52:12
Directory : c:\Users\linkj\AppData\Roaming\.minecraft\saves\Datapack Learning\datapacks\Mob Bosses
Total : 149 files,  1456 codes, 248 comments, 447 blanks, all 2151 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| mcfunction |        141 |      1,367 |        248 |        437 |      2,052 |
| JSON       |          6 |         61 |          0 |          2 |         63 |
| Markdown   |          1 |         22 |          0 |          8 |         30 |
| MCMETA     |          1 |          6 |          0 |          0 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                            |        149 |      1,456 |        248 |        447 |      2,151 |
| . (Files)                                                                                                                                                                                    |          2 |         28 |          0 |          8 |         36 |
| data                                                                                                                                                                                         |        147 |      1,428 |        248 |        439 |      2,115 |
| data\minecraft                                                                                                                                                                               |          3 |         17 |          0 |          0 |         17 |
| data\minecraft\tags                                                                                                                                                                          |          3 |         17 |          0 |          0 |         17 |
| data\minecraft\tags\damage_type                                                                                                                                                              |          1 |          6 |          0 |          0 |          6 |
| data\minecraft\tags\function                                                                                                                                                                 |          2 |         11 |          0 |          0 |         11 |
| data\mobbosses                                                                                                                                                                               |        140 |      1,379 |        247 |        438 |      2,064 |
| data\mobbosses\damage_type                                                                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| data\mobbosses\function                                                                                                                                                                      |        138 |      1,361 |        247 |        437 |      2,045 |
| data\mobbosses\function (Files)                                                                                                                                                              |          7 |        140 |         62 |         83 |        285 |
| data\mobbosses\function\abilities                                                                                                                                                            |         14 |         79 |          6 |         12 |         97 |
| data\mobbosses\function\boss_tick                                                                                                                                                            |          8 |        338 |         26 |        122 |        486 |
| data\mobbosses\function\flower_knight                                                                                                                                                        |         33 |        272 |         63 |        119 |        454 |
| data\mobbosses\function\flower_knight (Files)                                                                                                                                                |          9 |         92 |         13 |         37 |        142 |
| data\mobbosses\function\flower_knight\attacks                                                                                                                                                |         18 |        142 |         21 |         45 |        208 |
| data\mobbosses\function\flower_knight\attacks (Files)                                                                                                                                        |          6 |         60 |          8 |         13 |         81 |
| data\mobbosses\function\flower_knight\attacks\animations                                                                                                                                     |          5 |         34 |          3 |         18 |         55 |
| data\mobbosses\function\flower_knight\attacks\combos                                                                                                                                         |          2 |          9 |          2 |          2 |         13 |
| data\mobbosses\function\flower_knight\attacks\dart                                                                                                                                           |          3 |         31 |          8 |         12 |         51 |
| data\mobbosses\function\flower_knight\attacks\homing                                                                                                                                         |          2 |          8 |          0 |          0 |          8 |
| data\mobbosses\function\flower_knight\methods                                                                                                                                                |          5 |         29 |         21 |         27 |         77 |
| data\mobbosses\function\flower_knight\phases                                                                                                                                                 |          1 |          9 |          8 |         10 |         27 |
| data\mobbosses\function\poltergeist                                                                                                                                                          |         64 |        477 |         62 |         83 |        622 |
| data\mobbosses\function\poltergeist (Files)                                                                                                                                                  |          4 |         31 |          5 |          9 |         45 |
| data\mobbosses\function\poltergeist\attack_lists                                                                                                                                             |          4 |        138 |         19 |         26 |        183 |
| data\mobbosses\function\poltergeist\attacks                                                                                                                                                  |         49 |        261 |         31 |         37 |        329 |
| data\mobbosses\function\poltergeist\attacks\bows                                                                                                                                             |         13 |         60 |         13 |         10 |         83 |
| data\mobbosses\function\poltergeist\attacks\bows (Files)                                                                                                                                     |          7 |         36 |         12 |         10 |         58 |
| data\mobbosses\function\poltergeist\attacks\bows\arrangements                                                                                                                                |          6 |         24 |          1 |          0 |         25 |
| data\mobbosses\function\poltergeist\attacks\clutch                                                                                                                                           |          3 |          9 |          0 |          1 |         10 |
| data\mobbosses\function\poltergeist\attacks\exploding_ray                                                                                                                                    |         13 |         65 |          8 |          7 |         80 |
| data\mobbosses\function\poltergeist\attacks\exploding_ray (Files)                                                                                                                            |          4 |         17 |          2 |          2 |         21 |
| data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements                                                                                                                       |          9 |         48 |          6 |          5 |         59 |
| data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements (Files)                                                                                                               |          5 |         14 |          1 |          3 |         18 |
| data\mobbosses\function\poltergeist\attacks\exploding_ray\arrangements\rotate                                                                                                                |          4 |         34 |          5 |          2 |         41 |
